Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,2300.0,2380.0,2230.0,2360.0,2360.0,120253500
2021-01-05,2370.0,2430.0,2310.0,2350.0,2350.0,115900600
2021-01-06,2360.0,2640.0,2340.0,2510.0,2510.0,410473700
2021-01-07,2510.0,2920.0,2510.0,2710.0,2710.0,412293400
2021-01-08,2760.0,3010.0,2730.0,2860.0,2860.0,302686900
2021-01-11,2910.0,3070.0,2880.0,3040.0,3040.0,225648200
2021-01-12,3060.0,3800.0,3060.0,3760.0,3760.0,545245600
2021-01-13,3800.0,3980.0,3650.0,3770.0,3770.0,291605300
2021-01-14,3760.0,3940.0,3710.0,3760.0,3760.0,156186400
2021-01-15,3760.0,3820.0,3620.0,3670.0,3670.0,133074500
2021-01-18,3610.0,3670.0,3420.0,3420.0,3420.0,214010500
2021-01-19,3380.0,3380.0,3190.0,3190.0,3190.0,27759600
2021-01-20,2970.0,3650.0,2970.0,3650.0,3650.0,460582500
2021-01-21,3700.0,3800.0,3400.0,3480.0,3480.0,256274000
2021-01-22,3480.0,3550.0,3240.0,3240.0,3240.0,143286700
2021-01-25,3240.0,3310.0,3020.0,3240.0,3240.0,211405100
2021-01-26,3240.0,3320.0,3020.0,3020.0,3020.0,194047400
2021-01-27,3020.0,3020.0,2810.0,2810.0,2810.0,289989700
2021-01-28,2780.0,3050.0,2620.0,2620.0,2620.0,406684000
2021-01-29,2700.0,2850.0,2440.0,2440.0,2440.0,298212000
2021-02-01,2450.0,2960.0,2270.0,2800.0,2800.0,788319700
2021-02-02,2830.0,2870.0,2610.0,2610.0,2610.0,307312300
2021-02-03,2610.0,2810.0,2500.0,2750.0,2750.0,415461700
2021-02-04,2770.0,2840.0,2620.0,2680.0,2680.0,243985200
2021-02-05,2770.0,2780.0,2630.0,2710.0,2710.0,102486100
2021-02-08,2710.0,3000.0,2700.0,2960.0,2960.0,396067600
2021-02-09,2970.0,3070.0,2770.0,2830.0,2830.0,340909600
2021-02-10,2840.0,2910.0,2760.0,2870.0,2870.0,109923300
2021-02-11,2880.0,2950.0,2830.0,2870.0,2870.0,83044700
2021-02-15,2870.0,2930.0,2870.0,2870.0,2870.0,47366500
2021-02-16,2880.0,2950.0,2870.0,2900.0,2900.0,68045400
2021-02-17,2900.0,2910.0,2740.0,2740.0,2740.0,92026100
2021-02-18,2740.0,2780.0,2650.0,2700.0,2700.0,72502400
2021-02-19,2700.0,2740.0,2650.0,2690.0,2690.0,54334700
2021-02-22,2700.0,2850.0,2690.0,2770.0,2770.0,120593000
2021-02-23,2790.0,2820.0,2740.0,2790.0,2790.0,35518200
2021-02-24,2790.0,2870.0,2760.0,2820.0,2820.0,73806700
2021-02-25,2830.0,2980.0,2830.0,2960.0,2960.0,212040100
2021-02-26,2980.0,3070.0,2830.0,2940.0,2940.0,234049800
2021-03-01,2970.0,2980.0,2880.0,2920.0,2920.0,58303400
2021-03-02,2930.0,2950.0,2850.0,2850.0,2850.0,43985100
2021-03-03,2860.0,2910.0,2800.0,2810.0,2810.0,45506000
2021-03-04,2810.0,2850.0,2630.0,2680.0,2680.0,74480200
2021-03-05,2680.0,2710.0,2580.0,2630.0,2630.0,42364300
2021-03-08,2630.0,2740.0,2630.0,2680.0,2680.0,35981600
2021-03-09,2680.0,2710.0,2600.0,2620.0,2620.0,26459100
2021-03-10,2650.0,2650.0,2560.0,2570.0,2570.0,25566700
2021-03-12,2580.0,2640.0,2570.0,2620.0,2620.0,32371000
2021-03-15,2620.0,2680.0,2600.0,2600.0,2600.0,24931000
2021-03-16,2600.0,2760.0,2600.0,2680.0,2680.0,62132700
2021-03-17,2700.0,2730.0,2680.0,2700.0,2700.0,22796400
2021-03-18,2700.0,2740.0,2700.0,2720.0,2720.0,28798100
2021-03-19,2730.0,2730.0,2620.0,2670.0,2670.0,86144100
2021-03-22,2670.0,2680.0,2620.0,2620.0,2620.0,14325400
2021-03-23,2620.0,2660.0,2580.0,2590.0,2590.0,22040400
2021-03-24,2590.0,2640.0,2560.0,2600.0,2600.0,17906800
2021-03-25,2600.0,2620.0,2430.0,2490.0,2490.0,34245100
2021-03-26,2450.0,2540.0,2450.0,2540.0,2540.0,33440200
2021-03-29,2540.0,2560.0,2450.0,2450.0,2450.0,17623100
2021-03-30,2450.0,2490.0,2320.0,2350.0,2350.0,34230000
2021-03-31,2350.0,2350.0,2210.0,2290.0,2290.0,38221500
2021-04-01,2290.0,2350.0,2250.0,2330.0,2330.0,32073300
2021-04-05,2360.0,2360.0,2210.0,2230.0,2230.0,26248100
2021-04-06,2240.0,2270.0,2190.0,2260.0,2260.0,19421700
2021-04-07,2220.0,2270.0,2200.0,2240.0,2240.0,12392300
2021-04-08,2240.0,2480.0,2220.0,2440.0,2440.0,63860600
2021-04-09,2450.0,2450.0,2360.0,2380.0,2380.0,43462300
2021-04-12,2380.0,2400.0,2260.0,2270.0,2270.0,16776200
2021-04-13,2270.0,2320.0,2220.0,2270.0,2270.0,11720400
2021-04-14,2260.0,2370.0,2260.0,2330.0,2330.0,28175300
2021-04-15,2340.0,2370.0,2280.0,2300.0,2300.0,11419500
2021-04-16,2300.0,2360.0,2300.0,2330.0,2330.0,14885400
2021-04-19,2330.0,2510.0,2330.0,2460.0,2460.0,86965900
2021-04-20,2460.0,2460.0,2350.0,2380.0,2380.0,24559200
2021-04-21,2400.0,2400.0,2320.0,2340.0,2340.0,21497300
2021-04-22,2350.0,2390.0,2340.0,2340.0,2340.0,14292800
2021-04-23,2340.0,2350.0,2300.0,2320.0,2320.0,8644200
2021-04-26,2320.0,2350.0,2300.0,2310.0,2310.0,9523000
2021-04-27,2320.0,2350.0,2290.0,2290.0,2290.0,13122000
2021-04-28,2290.0,2320.0,2210.0,2220.0,2220.0,30003900
2021-04-29,2220.0,2320.0,2220.0,2260.0,2260.0,25472000
2021-04-30,2260.0,2290.0,2240.0,2280.0,2280.0,9390400
2021-05-03,2280.0,2300.0,2220.0,2240.0,2240.0,13419700
2021-05-04,2240.0,2260.0,2210.0,2250.0,2250.0,18996400
2021-05-05,2270.0,2340.0,2250.0,2280.0,2280.0,25065300
2021-05-06,2290.0,2480.0,2280.0,2420.0,2420.0,103671500
2021-05-07,2420.0,2450.0,2310.0,2310.0,2310.0,35934600
2021-05-10,2310.0,2360.0,2280.0,2280.0,2280.0,23936100
2021-05-11,2280.0,2280.0,2220.0,2250.0,2250.0,25653900
2021-05-17,2250.0,2260.0,2100.0,2100.0,2100.0,59145500
2021-05-18,2100.0,2130.0,1970.0,2010.0,2010.0,58976400
2021-05-19,1990.0,2010.0,1890.0,1905.0,1905.0,53428400
2021-05-20,1900.0,1970.0,1855.0,1925.0,1925.0,51125300
2021-05-21,1935.0,1945.0,1850.0,1855.0,1855.0,35467200
2021-05-24,1860.0,1875.0,1750.0,1760.0,1760.0,51925100
2021-05-25,1760.0,1920.0,1750.0,1850.0,1850.0,84463300
2021-05-27,1860.0,1995.0,1830.0,1830.0,1830.0,111361900
2021-05-28,1850.0,1890.0,1835.0,1870.0,1870.0,49657900
2021-05-31,1880.0,1925.0,1870.0,1905.0,1905.0,34389500
2021-06-02,1905.0,1965.0,1905.0,1925.0,1925.0,32880900
2021-06-03,1935.0,1945.0,1900.0,1920.0,1920.0,23763100
2021-06-04,1925.0,2100.0,1910.0,2050.0,2050.0,152696200
2021-06-07,2090.0,2090.0,1910.0,1915.0,1915.0,115855500
2021-06-08,1915.0,1925.0,1815.0,1825.0,1825.0,67980400
2021-06-09,1830.0,1885.0,1815.0,1860.0,1860.0,49979400
2021-06-10,1860.0,1905.0,1845.0,1880.0,1880.0,27826500
2021-06-11,1885.0,1900.0,1830.0,1835.0,1835.0,31391400
2021-06-14,1840.0,1860.0,1810.0,1810.0,1810.0,22068400
2021-06-15,1810.0,1835.0,1785.0,1795.0,1795.0,20638700
2021-06-16,1795.0,1810.0,1770.0,1780.0,1780.0,19248900
2021-06-17,1780.0,1865.0,1760.0,1855.0,1855.0,47074500
2021-06-18,1850.0,1900.0,1765.0,1765.0,1765.0,76096700
2021-06-21,1770.0,1785.0,1710.0,1725.0,1725.0,36153100
2021-06-22,1730.0,1835.0,1725.0,1810.0,1810.0,51865900
2021-06-23,1800.0,1830.0,1750.0,1750.0,1750.0,35983500
2021-06-24,1750.0,1770.0,1725.0,1725.0,1725.0,24638900
2021-06-25,1720.0,2010.0,1720.0,1945.0,1945.0,326345000
2021-06-28,1990.0,2260.0,1940.0,2250.0,2250.0,462123900
2021-06-29,2230.0,2330.0,2100.0,2190.0,2190.0,296291800
2021-06-30,2180.0,2370.0,2150.0,2300.0,2300.0,299011700
2021-07-01,2310.0,2360.0,2230.0,2280.0,2280.0,133280900
2021-07-02,2300.0,2320.0,2150.0,2230.0,2230.0,85758200
2021-07-05,2230.0,2280.0,2150.0,2160.0,2160.0,65876800
2021-07-06,2170.0,2250.0,2120.0,2180.0,2180.0,81078200
2021-07-07,2190.0,2350.0,2180.0,2330.0,2330.0,186353800
2021-07-08,2340.0,2500.0,2340.0,2430.0,2430.0,226814600
2021-07-09,2450.0,2500.0,2370.0,2380.0,2380.0,97058100
2021-07-12,2380.0,2450.0,2350.0,2360.0,2360.0,49773000
2021-07-13,2360.0,2400.0,2250.0,2290.0,2290.0,59205400
2021-07-14,2290.0,2400.0,2220.0,2350.0,2350.0,66109300
2021-07-15,2350.0,2410.0,2330.0,2390.0,2390.0,67831800
2021-07-16,2390.0,2500.0,2380.0,2440.0,2440.0,124496300
2021-07-19,2440.0,2620.0,2400.0,2590.0,2590.0,188177000
2021-07-21,2610.0,2710.0,2550.0,2570.0,2570.0,128592700
2021-07-22,2590.0,2640.0,2570.0,2580.0,2580.0,31659000
2021-07-23,2580.0,2670.0,2580.0,2640.0,2640.0,110733700
2021-07-26,2670.0,2720.0,2620.0,2680.0,2680.0,102412700
2021-07-27,2680.0,2880.0,2560.0,2710.0,2710.0,209397800
2021-07-28,2720.0,2830.0,2720.0,2800.0,2800.0,100143700
2021-07-29,2800.0,2840.0,2750.0,2820.0,2820.0,61978400
